ref_number,account_number,statement_date,amount,txn_type,memo,is_bank_originated_fee
TXN0000447,6812246323,2025-04-08,-23746.81,Wire Transfer,Outgoing Wire,False
TXN0000666,6416476335,2025-02-18,-14154.19,Internal Transfer,ACCOUNT TRANSFER,False
TXN0005421,4424925062,2025-01-19,-6304.22,Wire Transfer,OUTGOING WIRE,False
TXN0006000,9769524005,2025-02-12,2789.49,Check Deposit,CHECK DEPOSIT,False
TXN0005954,9880372780,2025-06-20,-27512.34,Wire Transfer,OUTGOING WIRE,False
TXN0002506,5573016047,2025-01-14,-40053.80,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0004032,6643676141,2025-01-09,-3933.95,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0004808,2288204410,2025-02-21,-28558.98,Wire Transfer,INCOMING WIRE,False
TXN0005819,5124653045,2025-06-25,21859.54,ACH Credit,PAYROLL DEPOSIT,False
TXN0004538,1101030166,2025-04-20,25864.22,ACH Credit,Payroll Deposit,False
TXN0003865,8190949022,2025-04-04,42599.38,Check Deposit,CHECK DEPOSIT,False
TXN0003161,5861391157,2025-02-28,32709.74,Internal Transfer,Account Transfer,False
TXN0005470,8819179188,2025-04-21,10083.16,Check Deposit,Check Deposit,False
TXN0004407,5888867190,2025-01-20,-20920.08,Internal Transfer,Account Transfer,False
TXN0000991,3377967038,2025-04-08,-18094.39,Wire Transfer,Outgoing Wire,False
TXN0002642,1413881887,2025-06-16,11494.56,ACH Credit,Payroll Deposit,False
TXN0002386,5611201771,2025-05-10,-38840.02,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0005560,8766375222,2025-01-01,-42136.00,Wire Transfer,INCOMING WIRE,False
TXN0003561,1430536760,2025-02-15,-31096.18,Wire Transfer,Outgoing Wire,False
TXN0002014,2961080423,2025-02-11,38194.82,ACH Credit,Payroll Deposit,False
TXN0004308,2647841211,2025-02-04,-44220.46,Wire Transfer,INCOMING WIRE,False
TXN0001655,3435237021,2025-06-14,28344.45,Check Deposit,Check Deposit,False
TXN0000707,4680868447,2025-06-02,-44913.64,Internal Transfer,Account Transfer,False
TXN0004417,1373750657,2025-06-17,-44018.67,Wire Transfer,Incoming Wire,False
TXN0001795,4182154628,2025-01-28,-29731.90,Wire Transfer,INCOMING WIRE,False
TXN0004080,1509157558,2025-04-09,11703.49,ACH Credit,Payroll Deposit,False
TXN0003938,7958546750,2025-05-31,-26817.60,Debit Card,POS Purchase,False
TXN0001324,8600137834,2025-04-20,-15459.01,Wire Transfer,INCOMING WIRE,False
TXN0003191,5198383166,2025-04-14,-36883.21,ACH Debit,Vendor Payment,False
TXN0005627,2041022075,2025-06-14,18988.37,ACH Credit,PAYROLL DEPOSIT,False
TXN0002682,5276198318,2025-06-26,-10854.61,ACH Debit,Vendor Payment,False
TXN0004000,1951852877,2025-06-17,23150.14,Internal Transfer,Account Transfer,False
TXN0000547,1517403015,2025-06-24,-11502.83,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0001079,9741250701,2025-02-27,-18868.15,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0002311,7151346585,2025-05-27,-6264.18,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0000679,8093315361,2025-04-24,-6640.97,Debit Card,POS Purchase,False
TXN0004778,5641216563,2025-05-06,-36296.99,Wire Transfer,Outgoing Wire,False
TXN0000558,2384498966,2025-06-08,-33477.51,ACH Debit,Vendor Payment,False
TXN0005676,2651252570,2025-06-23,-13881.74,Debit Card,POS Purchase,False
TXN0003402,6797356141,2025-05-26,37560.88,Internal Transfer,Account Transfer,False
TXN0005069,6876570804,2025-04-01,-29625.52,Debit Card,POS Purchase,False
TXN0003826,3958894983,2025-01-07,22655.85,Check Deposit,CHECK DEPOSIT,False
TXN0004596,3922304658,2025-03-26,-28556.98,Wire Transfer,Outgoing Wire,False
TXN0002787,6807032395,2025-05-31,-16662.03,Debit Card,POS PURCHASE,False
TXN0004717,9976454359,2025-01-10,-13673.62,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0000942,4029885588,2025-06-10,-14461.76,Internal Transfer,Account Transfer,False
TXN0005899,1576367462,2025-03-25,-44761.45,Wire Transfer,Incoming Wire,False
TXN0004070,9620397118,2025-06-24,38495.76,ACH Debit,Vendor Payment,False
TXN0002852,8639909970,2025-01-23,-32734.39,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0000473,3878771991,2025-06-28,-33329.75,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0000468,7327893382,2025-06-04,-6025.38,Wire Transfer,Incoming Wire,False
TXN0000412,5842589214,2025-03-28,-3591.18,Wire Transfer,OUTGOING WIRE,False
TXN0004665,7588505365,2025-02-14,-9239.60,ACH Debit,Vendor Payment,False
TXN0001045,6374170760,2025-03-25,-12219.91,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0004162,4181480973,2025-06-29,43387.13,Check Deposit,CHECK DEPOSIT,False
TXN0002692,9921365439,2025-04-22,-5686.35,ACH Debit,VENDOR PAYMENT,False
TXN0002313,7320837863,2025-01-15,41794.76,Check Deposit,CHECK DEPOSIT,False
TXN0000089,9161753450,2025-06-28,-6091.22,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0003274,6607076949,2025-05-14,-1121.39,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003330,9000858821,2025-01-29,-17011.22,Debit Card,POS Purchase,False
TXN0001995,6194791557,2025-06-25,-30953.35,ACH Debit,VENDOR PAYMENT,False
TXN0004068,8094377527,2025-02-09,-18625.62,Wire Transfer,Incoming Wire,False
TXN0001080,7649374904,2025-01-23,-20579.71,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0001626,8589318825,2025-03-09,-35542.88,Internal Transfer,ACCOUNT TRANSFER,False
TXN0004956,8447109312,2025-02-08,-9031.44,Debit Card,POS PURCHASE,False
TXN0003589,8753467402,2025-02-11,-25162.10,ACH Debit,Vendor Payment,False
TXN0001381,9637391320,2025-04-24,-22106.51,Internal Transfer,Account Transfer,False
TXN0000650,4287881268,2025-06-10,-2027.93,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0002228,6406125488,2025-04-07,-10220.17,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0003320,7769879995,2025-02-08,41914.61,ACH Credit,Payroll Deposit,False
TXN0002086,3433376796,2025-06-01,43009.45,Check Deposit,Check Deposit,False
TXN0004159,9109466847,2025-06-06,44942.46,ACH Credit,PAYROLL DEPOSIT,False
TXN0004193,8144916360,2025-02-06,-5846.14,Internal Transfer,Account Transfer,False
TXN0005662,7175577983,2025-03-26,26211.42,Check Deposit,CHECK DEPOSIT,False
TXN0000382,6097326981,2025-02-06,28809.33,Wire Transfer,Outgoing Wire,False
TXN0005090,7586795066,2025-02-12,32609.39,ACH Credit,Payroll Deposit,False
