txn_ref,account_number,post_date,amount,direction,description,branch_code
TXN0005871,6225026093,2025-01-28,-27243.16,Debit,Incoming Wire,0678
TXN0002819,5214431497,2025-02-18,-1956.19,Debit,Incoming Wire,0501
TXN0000946,9482952406,2025-05-25,39893.96,Credit,Check Deposit,0245
TXN0002429,8402070969,2025-05-04,23632.46,Credit,Payroll Deposit,0245
TXN0000471,5726529550,2025-05-13,15436.56,Credit,Account Transfer,0389
TXN0004169,4577786529,2025-02-12,3526.88,Credit,Account Transfer,0678
TXN0001503,4733405404,2025-03-08,-34029.45,Debit,Outgoing Wire,0112
TXN0001029,4220832116,2025-05-09,-38842.63,Debit,Outgoing Wire,0501
TXN0000305,5227878924,2025-05-24,-20297.88,Debit,Outgoing Wire,0245
TXN0002820,5743732625,2025-06-21,863.54,Credit,Check Deposit,0389
TXN0002874,3333899589,2025-03-18,-40178.30,Debit,Vendor Payment,0112
TXN0003222,4075263886,2025-06-20,-10122.17,Debit,Vendor Payment,0245
TXN0002081,5762987692,2025-01-13,-41061.62,Debit,Outgoing Wire,0245
TXN0000133,2174104726,2025-04-02,39668.88,Credit,ATM Cash Withdrawal,0678
TXN0002357,4481634327,2025-01-02,-6573.24,Debit,Account Transfer,0501
TXN0003044,6748464360,2025-03-14,-2570.39,Debit,Outgoing Wire,0245
TXN0004153,2648134595,2025-01-04,-895.04,Debit,Outgoing Wire,0389
TXN0001584,2293123409,2025-02-07,35940.78,Credit,Check Deposit,0112
TXN0002946,8133378028,2025-02-26,-5576.65,Debit,ATM Cash Withdrawal,0389
TXN0002851,8875073269,2025-03-19,-11522.17,Debit,Outgoing Wire,0245
TXN0000641,3063623217,2025-05-28,-11701.49,Debit,Outgoing Wire,0245
TXN0000571,7639403968,2025-06-30,-15355.78,Debit,Outgoing Wire,0501
TXN0001600,7381111965,2025-06-29,-369.09,Debit,POS Purchase,0112
TXN0003838,5529397698,2025-05-03,-7465.43,Debit,Incoming Wire,0245
TXN0002721,4973991102,2025-05-19,-36152.51,Debit,Incoming Wire,0389
TXN0000576,6298745701,2025-05-12,-40120.08,Debit,Account Transfer,0112
TXN0004186,8320630028,2025-02-28,31137.47,Credit,Account Transfer,0245
TXN0005190,8251980460,2025-05-26,-15976.25,Debit,Vendor Payment,0245
TXN0005680,2289854145,2025-06-05,655.58,Credit,Payroll Deposit,0501
TXN0005406,2917419321,2025-01-23,27885.24,Credit,Account Transfer,0112
TXN0002037,1043648199,2025-05-13,-19653.69,Debit,POS Purchase,0112
TXN0005623,3072627097,2025-04-29,43982.29,Credit,Check Deposit,0678
TXN0004933,1152730028,2025-02-19,-34154.35,Debit,Vendor Payment,0678
