txn_ref,account_number,ledger_amount,bank_amount,ledger_date,bank_date,category,note
TXN0000642,5685743966,-15143.45,-15143.45,2025-03-28,2025-03-28,Reconciled,
TXN0004589,9704522693,-31465.50,-31465.50,2025-03-04,2025-03-04,Reconciled,
TXN0005752,4865423132,6954.41,6954.41,2025-01-05,2025-01-05,Reconciled,
TXN0004147,6405166068,-38354.27,-38354.27,2025-04-28,2025-04-28,Reconciled,
TXN0004531,5799726034,-26143.06,-26143.06,2025-05-08,2025-05-08,Reconciled,
TXN0001499,2705209487,-39876.32,-39876.32,2025-02-27,2025-02-27,Reconciled,
TXN0000398,1400996651,23647.59,23647.59,2025-04-25,2025-04-25,Reconciled,
TXN0001439,5036041500,-22110.24,-22110.24,2025-05-28,2025-05-28,Reconciled,
TXN0003467,7441981456,-26014.87,-26081.93,2025-05-01,2025-05-01,Amount Discrepancy (Investigate),"Ledger -26014.87 vs bank -26081.93, diff 67.06."
TXN0002904,8301331812,-7577.17,-7577.17,2025-06-25,2025-06-25,Reconciled,
TXN0005479,5674711289,-36207.95,-36207.95,2025-01-12,2025-01-12,Reconciled,
TXN0004959,4594991701,9057.19,9057.19,2025-01-14,2025-01-14,Reconciled,
TXN0001235,3966274029,-35962.18,-35962.18,2025-02-08,2025-02-10,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0002989,1775194277,-7042.24,-7042.24,2025-06-18,2025-06-18,Reconciled,
TXN0004091,5203126296,-25039.65,-25039.65,2025-03-07,2025-03-09,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0004311,6988985181,-7874.32,-7874.32,2025-05-22,2025-05-22,Reconciled,
TXN0005572,1240253244,43118.14,43315.41,2025-06-19,2025-06-19,Amount Discrepancy (Investigate),"Ledger 43118.14 vs bank 43315.41, diff -197.27."
TXN0005546,2352882009,-25337.69,-25337.69,2025-04-12,2025-04-14,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0004693,2835971286,-44415.68,-44415.68,2025-01-28,2025-01-28,Reconciled,
TXN0002400,7320711941,34608.80,34608.80,2025-06-07,2025-06-07,Reconciled,
TXN0005981,5253199815,-5432.45,-5432.45,2025-05-16,2025-05-16,Reconciled,
TXN0001297,8875288218,17802.17,17802.17,2025-02-17,2025-02-17,Reconciled,
TXN0002284,2927109280,-15032.72,-15032.72,2025-06-08,2025-06-08,Reconciled,
TXN0000448,3463347492,-9603.75,-9603.75,2025-01-31,2025-01-31,Reconciled,
TXN0004488,4416182406,-23173.76,-23173.76,2025-03-09,2025-03-09,Reconciled,
TXN0001282,7308432672,-12341.58,-12341.58,2025-02-15,2025-02-15,Reconciled,
TXN0000099,5233292436,18458.29,18458.29,2025-05-15,2025-05-15,Reconciled,
TXN0003025,8520026308,-35619.44,-35619.44,2025-05-14,2025-05-14,Reconciled,
TXN0001440,2186443848,-32570.26,-32570.26,2025-05-02,2025-05-02,Reconciled,
TXN0002485,3933275757,-41046.65,-41046.65,2025-02-06,2025-02-06,Reconciled,
TXN0004455,2317270855,4566.79,4566.79,2025-01-19,2025-01-19,Reconciled,
TXN0000908,1927138391,43309.58,43309.58,2025-04-02,2025-04-02,Reconciled,
TXN0002364,4759876088,-36634.52,-36634.52,2025-05-15,2025-05-15,Reconciled,
TXN0000011,7856770577,41817.40,41817.40,2025-01-18,2025-01-18,Reconciled,
TXN0004081,1533719845,15698.66,15698.66,2025-01-19,2025-01-19,Reconciled,
TXN0002297,5852155116,-22020.18,-22020.18,2025-03-09,2025-03-09,Reconciled,
TXN0000498,5492022473,-134.41,-134.41,2025-06-16,2025-06-18,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0002293,7136801114,33550.99,33550.99,2025-04-20,2025-04-20,Reconciled,
TXN0002375,8185589096,-4724.57,-4724.57,2025-04-09,2025-04-10,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0001822,2692481286,-29868.57,-29868.57,2025-01-22,2025-01-22,Reconciled,
TXN0003017,7143055804,-44353.07,-44353.07,2025-03-17,2025-03-17,Reconciled,
TXN0000263,5448736408,-30129.82,-30129.82,2025-02-10,2025-02-10,Reconciled,
TXN0005706,1582477663,-32944.34,-32944.34,2025-05-13,2025-05-13,Reconciled,
TXN0005086,4188877338,11642.41,11642.41,2025-05-29,2025-05-29,Reconciled,
TXN0004561,7790930898,-4202.92,-4202.92,2025-04-16,2025-04-17,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0001532,2921181337,-19849.72,-19849.72,2025-02-07,2025-02-07,Reconciled,
TXN0005197,7436863408,-17103.82,-17103.82,2025-04-30,2025-04-30,Reconciled,
TXN0005645,2092811446,13325.73,13325.73,2025-06-18,2025-06-18,Reconciled,
TXN0002784,2721225272,-39873.20,,2025-04-01,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0003633,4835949168,-35479.04,-35479.04,2025-01-05,2025-01-05,Reconciled,
TXN0004374,9447616798,21028.37,21028.37,2025-02-06,2025-02-06,Reconciled,
TXN0000861,3603090195,-5136.72,-5136.72,2025-06-12,2025-06-12,Reconciled,
TXN0005661,3098665538,14456.21,14456.21,2025-03-11,2025-03-11,Reconciled,
TXN0004616,2044780625,-33720.73,-33720.73,2025-04-08,2025-04-08,Reconciled,
TXN0004866,9941958903,-8134.14,-8134.14,2025-06-07,2025-06-07,Reconciled,
TXN0003877,2010265668,11422.71,11422.71,2025-02-17,2025-02-17,Reconciled,
TXN0001747,2284481324,-16620.19,-16620.19,2025-04-20,2025-04-20,Reconciled,
TXN0002486,3179124949,2107.89,2107.89,2025-03-06,2025-03-06,Reconciled,
TXN0000576,6298745701,-40120.08,-40120.08,2025-05-12,2025-05-12,Reconciled,
TXN0005848,7837871094,33104.12,33104.12,2025-04-21,2025-04-21,Reconciled,
TXN0003405,3256035335,-9667.08,-9667.08,2025-01-28,2025-01-28,Reconciled,
TXN0003266,5075916997,3950.65,3950.65,2025-02-03,2025-02-03,Reconciled,
TXN0002738,6060080626,-7479.89,-7479.89,2025-01-29,2025-01-29,Reconciled,
TXN0001862,6089884957,-13793.60,-13793.60,2025-06-23,2025-06-26,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0000355,4944917833,3596.35,3596.35,2025-02-05,2025-02-05,Reconciled,
TXN0000607,5533944366,-13375.16,-13375.16,2025-01-12,2025-01-12,Reconciled,
TXN0003128,9439837853,41211.63,41211.63,2025-06-25,2025-06-25,Reconciled,
TXN0000713,6035851729,-11310.32,-11310.32,2025-05-28,2025-05-31,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0001039,5103371211,-41526.21,-41526.21,2025-06-22,2025-06-22,Reconciled,
TXN0004960,7155604711,13206.72,13436.45,2025-06-19,2025-06-19,Amount Discrepancy (Investigate),"Ledger 13206.72 vs bank 13436.45, diff -229.73."
TXN0004997,3386210163,12873.00,12873.00,2025-06-10,2025-06-13,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0004447,5959537635,25156.22,25156.22,2025-03-22,2025-03-22,Reconciled,
TXN0003923,4711923322,32051.29,32051.29,2025-05-26,2025-05-26,Reconciled,
