RefNumber,AcctNumber,StatementDate,Amount,TxnType,Memo
TXN0000447,681-224-6323,04/08/2025,"($23,746.81)",Wire Transfer,Outgoing Wire
TXN0000666,641-647-6335,18-Feb-2025,"($14,154.19)",Internal Transfer,ACCOUNT TRANSFER
TXN0005421, 442-492-5062 ,19-Jan-2025,"($6,304.22)",Wire Transfer,OUTGOING WIRE
TXN0006000,976-952-4005,12-Feb-2025,"$2,789.49",Check Deposit,CHECK DEPOSIT
TXN0005954, 988-037-2780 ,06/20/2025,"($27,512.34)",Wire Transfer,OUTGOING WIRE
TXN0002506, 557-301-6047 ,14-Jan-2025,"($40,053.80)",ATM Withdrawal,ATM Cash Withdrawal
TXN0004032,664-367-6141,01/09/2025,"($3,933.95)",ATM Withdrawal,ATM Cash Withdrawal
TXN0004808,228-820-4410,21-Feb-2025,"($28,558.98)",Wire Transfer,INCOMING WIRE
TXN0005819,512-465-3045,06/25/2025,"$21,859.54",ACH Credit,PAYROLL DEPOSIT
TXN0004538,110-103-0166,04/20/2025,"$25,864.22",ACH Credit,Payroll Deposit
TXN0003865,819-094-9022,04/04/2025,"$42,599.38",Check Deposit,CHECK DEPOSIT
txn0003161,586-139-1157,02/28/2025,"$32,709.74",Internal Transfer,Account Transfer
TXN0005470,881-917-9188,21-Apr-2025,"$10,083.16",Check Deposit,Check Deposit
TXN0004407,588-886-7190,01/20/2025,"($20,920.08)",Internal Transfer,Account Transfer
TXN0000991,337-796-7038,08-Apr-2025,"($18,094.39)",Wire Transfer,Outgoing Wire
TXN0002642,141-388-1887,06/16/2025,"$11,494.56",ACH Credit,Payroll Deposit
txn0002386,561-120-1771,05/10/2025,"($38,840.02)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0005560,876-637-5222,01-Jan-2025,"($42,136.00)",Wire Transfer,INCOMING WIRE
TXN0003561,143-053-6760,02/15/2025,"($31,096.18)",Wire Transfer,Outgoing Wire
TXN0002014,296-108-0423,02/11/2025,"$38,194.82",ACH Credit,Payroll Deposit
 TXN0004308,264-784-1211,02/04/2025,"($44,220.46)",Wire Transfer,INCOMING WIRE
TXN0001655,343-523-7021,06/14/2025,"$28,344.45",Check Deposit,Check Deposit
