txn_ref,account_number,post_date,amount,direction,description,branch_code
TXN0000642,5685743966,2025-03-28,-15143.45,Debit,Outgoing Wire,0678
TXN0004589,9704522693,2025-03-04,-31465.50,Debit,POS Purchase,0245
TXN0005752,4865423132,2025-01-05,6954.41,Credit,Payroll Deposit,0501
TXN0004147,6405166068,2025-04-28,-38354.27,Debit,Outgoing Wire,0678
TXN0004531,5799726034,2025-05-08,-26143.06,Debit,Outgoing Wire,0678
TXN0001499,2705209487,2025-02-27,-39876.32,Debit,Vendor Payment,0389
TXN0000398,1400996651,2025-04-25,23647.59,Credit,Check Deposit,0501
TXN0001439,5036041500,2025-05-28,-22110.24,Debit,Incoming Wire,0245
TXN0003467,7441981456,2025-05-01,-26014.87,Debit,Outgoing Wire,0501
TXN0002904,8301331812,2025-06-25,-7577.17,Debit,Incoming Wire,0501
TXN0005479,5674711289,2025-01-12,-36207.95,Debit,Vendor Payment,0245
TXN0004959,4594991701,2025-01-14,9057.19,Credit,Payroll Deposit,0678
TXN0001235,3966274029,2025-02-08,-35962.18,Debit,Outgoing Wire,0678
TXN0002989,1775194277,2025-06-18,-7042.24,Debit,ATM Cash Withdrawal,0501
TXN0004091,5203126296,2025-03-07,-25039.65,Debit,Account Transfer,0389
TXN0004311,6988985181,2025-05-22,-7874.32,Debit,ATM Cash Withdrawal,0678
TXN0005572,1240253244,2025-06-19,43118.14,Credit,Payroll Deposit,0245
TXN0005546,2352882009,2025-04-12,-25337.69,Debit,POS Purchase,0678
TXN0004693,2835971286,2025-01-28,-44415.68,Debit,POS Purchase,0501
TXN0002400,7320711941,2025-06-07,34608.80,Credit,Payroll Deposit,0501
TXN0005981,5253199815,2025-05-16,-5432.45,Debit,ATM Cash Withdrawal,0389
TXN0001297,8875288218,2025-02-17,17802.17,Credit,Check Deposit,0112
TXN0002284,2927109280,2025-06-08,-15032.72,Debit,Vendor Payment,0245
TXN0000448,3463347492,2025-01-31,-9603.75,Debit,Vendor Payment,0501
TXN0004488,4416182406,2025-03-09,-23173.76,Debit,Vendor Payment,0389
TXN0001282,7308432672,2025-02-15,-12341.58,Debit,Incoming Wire,0389
